x0,x1,label
3.277701,0.814082,0.000000
0.387577,0.176780,0.000000
0.268546,0.582963,0.000000
2.031145,0.244597,0.000000
0.188677,0.461280,0.000000
3.525472,0.265579,0.000000
2.229583,0.682189,0.000000
3.392074,0.420976,0.000000
3.589815,0.832527,0.000000
1.227873,0.810909,0.000000
1.300699,0.146538,0.000000
3.596968,0.421791,0.000000
3.106757,0.779664,0.000000
0.221139,0.612603,0.000000
1.496841,0.495985,0.000000
2.860498,0.535719,0.000000
1.450710,0.142352,0.000000
1.745799,0.066373,0.000000
1.404800,0.329680,0.000000
1.769600,0.777809,0.000000
0.464511,0.672442,0.000000
2.750803,0.165520,0.000000
1.571006,0.091428,0.000000
1.181660,0.857799,0.000000
0.661957,0.612812,0.000000
0.828567,0.798048,0.000000
3.313914,0.216602,0.000000
3.625645,0.538592,0.000000
3.611238,0.584716,0.000000
2.904519,0.465036,0.000000
3.080431,0.245490,0.000000
3.851167,0.574214,0.000000
0.944956,0.077006,0.000000
3.834215,0.224878,0.000000
2.179064,0.784896,0.000000
2.716449,0.944268,0.000000
0.029780,0.931252,0.000000
0.095525,0.349743,0.000000
3.835506,0.889721,0.000000
1.142732,0.811691,0.000000
3.747439,0.654886,0.000000
0.948862,0.122011,0.000000
0.160755,0.702042,0.000000
3.288779,0.737797,0.000000
1.356250,0.029101,0.000000
0.916260,0.596160,0.000000
1.252876,0.500998,0.000000
2.471178,0.396430,0.000000
2.364922,0.992772,0.000000
2.172301,0.283717,0.000000
0.671267,0.055467,0.000000
2.165402,0.152000,0.000000
2.661288,0.467768,0.000000
1.926460,0.741190,0.000000
1.899647,0.649203,0.000000
3.829860,0.726794,0.000000
1.133497,0.516173,0.000000
2.309857,0.767935,0.000000
1.371371,0.956664,0.000000
0.151858,0.284416,0.000000
2.096938,0.411357,0.000000
1.300490,0.720155,0.000000
3.534799,0.181775,0.000000
1.217877,0.460971,0.000000
2.726977,0.699328,0.000000
0.682141,0.054686,0.000000
0.837813,0.912877,0.000000
0.799211,0.501879,0.000000
0.042015,0.689603,0.000000
0.520977,0.079651,0.000000
0.719720,0.445045,0.000000
0.197504,0.362730,0.000000
1.724494,0.670107,0.000000
3.574540,0.085280,0.000000
1.416691,0.723741,0.000000
3.037057,0.548241,0.000000
3.644992,0.349585,0.000000
0.049575,0.013442,0.000000
1.023898,0.977225,0.000000
1.815563,0.328590,0.000000
2.312471,0.520445,0.000000
0.855281,0.429980,0.000000
0.760641,0.724534,0.000000
1.484940,0.793583,0.000000
2.725697,0.764628,0.000000
2.789323,0.243674,0.000000
3.803611,0.251480,0.000000
1.591552,0.431951,0.000000
3.102531,0.674293,0.000000
0.565235,0.679348,0.000000
0.985402,0.187597,0.000000
2.948159,0.311962,0.000000
1.323618,0.644543,0.000000
0.552512,0.648435,0.000000
0.635387,0.474052,0.000000
3.928676,0.204357,0.000000
0.780925,0.800335,0.000000
1.872623,0.814694,0.000000
2.759808,0.162941,0.000000
3.504794,0.648843,0.000000
3.683266,0.591750,0.000000
2.441121,0.097041,0.000000
0.031457,0.462131,0.000000
3.387011,0.079380,0.000000
1.982598,0.588441,0.000000
2.696483,0.242380,0.000000
1.159278,0.190088,0.000000
0.576024,0.996298,0.000000
3.538351,0.281543,0.000000
3.304712,0.772580,0.000000
0.438501,0.884463,0.000000
1.937908,0.826290,0.000000
1.434005,0.338369,0.000000
3.112876,0.655144,0.000000
0.413395,0.150636,0.000000
1.358768,0.479656,0.000000
1.731313,0.958690,0.000000
2.130866,0.004658,0.000000
0.057906,0.933944,0.000000
1.365225,0.699019,0.000000
3.101071,0.982575,0.000000
0.331075,0.263808,0.000000
1.086791,0.353972,0.000000
1.996396,0.528335,0.000000
3.845884,0.795806,0.000000
0.985853,0.434387,0.000000
1.688165,0.938172,0.000000
0.161953,0.829518,0.000000
0.287702,0.857928,0.000000
0.972789,0.916516,0.000000
1.305060,0.621873,0.000000
3.515395,0.462665,0.000000
1.736284,0.812699,0.000000
1.788111,0.112125,0.000000
0.692963,0.831389,0.000000
0.459059,0.283671,0.000000
1.421594,0.942622,0.000000
3.222115,0.997386,0.000000
3.055062,0.603635,0.000000
3.439667,0.514822,0.000000
2.742587,0.603127,0.000000
0.258403,0.395579,0.000000
1.707936,0.209115,0.000000
3.110911,0.819240,0.000000
2.199103,0.812362,0.000000
1.784882,0.387625,0.000000
1.886291,0.684541,0.000000
2.886793,0.942807,0.000000
2.777400,0.706607,0.000000
1.463492,0.491627,0.000000
2.073286,0.916573,0.000000
3.728174,0.954035,0.000000
0.078700,0.263543,0.000000
1.373510,0.621810,0.000000
0.698877,0.482423,0.000000
0.448893,0.098618,0.000000
0.735566,0.119708,0.000000
2.724216,0.580730,0.000000
1.635384,0.533324,0.000000
1.288393,0.847085,0.000000
1.185280,0.543564,0.000000
0.452272,0.709280,0.000000
1.020964,0.583399,0.000000
3.465723,0.524960,0.000000
2.532696,0.959479,0.000000
0.985995,0.008335,0.000000
2.750285,0.620354,0.000000
2.577899,0.245998,0.000000
3.036657,0.930898,0.000000
1.564616,0.954967,0.000000
1.518451,0.978359,0.000000
3.142274,0.434848,0.000000
1.483197,0.185676,0.000000
1.293469,0.897792,0.000000
3.176521,0.047388,0.000000
0.398666,0.166009,0.000000
1.717029,0.111247,0.000000
2.777236,0.026691,0.000000
2.702432,0.510408,0.000000
1.807774,0.762573,0.000000
2.882574,0.514512,0.000000
3.299730,0.231124,0.000000
0.725724,0.585824,0.000000
2.926980,0.244504,0.000000
1.434889,0.489006,0.000000
3.612030,0.621951,0.000000
1.258017,0.242269,0.000000
1.286561,0.568048,0.000000
0.689474,0.760472,0.000000
0.598052,0.279905,0.000000
3.499457,0.153595,0.000000
3.093691,0.158748,0.000000
1.431273,0.568599,0.000000
0.460369,0.295192,0.000000
0.884156,0.513333,0.000000
3.275009,0.432164,0.000000
1.164767,0.629180,0.000000
0.039219,0.052828,0.000000
2.412745,0.512431,0.000000
0.833625,0.325255,0.000000
0.725273,3.965634,1.000000
0.573147,2.923034,1.000000
1.177763,2.565923,1.000000
0.661644,3.973707,1.000000
0.652245,2.253018,1.000000
0.812158,3.260725,1.000000
0.652892,1.693079,1.000000
0.963136,4.958545,1.000000
1.328618,3.566781,1.000000
1.496690,5.272268,1.000000
1.152723,3.543348,1.000000
1.369882,2.380564,1.000000
1.493890,4.247095,1.000000
1.345490,5.278332,1.000000
0.819666,4.616232,1.000000
1.107822,4.153609,1.000000
1.283312,4.321069,1.000000
0.748762,1.619142,1.000000
0.821916,4.852253,1.000000
0.907950,3.163114,1.000000
1.060966,1.963245,1.000000
1.205340,4.321613,1.000000
1.477937,5.039480,1.000000
1.097946,2.953946,1.000000
0.938634,3.012962,1.000000
0.780331,5.235518,1.000000
0.903332,4.814365,1.000000
0.559100,3.571814,1.000000
1.173636,2.044423,1.000000
1.347315,5.234000,1.000000
1.288732,2.683106,1.000000
1.376571,2.091436,1.000000
0.892292,3.810590,1.000000
0.703477,3.956213,1.000000
1.142235,4.972135,1.000000
1.001787,4.217102,1.000000
0.777779,4.493622,1.000000
0.652697,4.836891,1.000000
0.721173,2.798064,1.000000
0.967501,5.367249,1.000000
1.334662,2.597372,1.000000
1.368845,1.770000,1.000000
0.776253,4.234287,1.000000
0.746947,4.667021,1.000000
1.411469,4.074821,1.000000
0.740597,4.389994,1.000000
1.184165,3.031102,1.000000
1.452709,4.177391,1.000000
1.341934,4.679407,1.000000
0.759816,3.996869,1.000000
1.273906,1.534234,1.000000
0.891859,5.165834,1.000000
1.011748,3.999350,1.000000
1.054506,2.504006,1.000000
1.021894,4.436951,1.000000
1.249096,3.361231,1.000000
0.596855,2.324431,1.000000
0.641770,4.391472,1.000000
1.041153,1.863353,1.000000
1.220983,4.447128,1.000000
0.850268,2.060747,1.000000
1.312062,1.586404,1.000000
0.707436,3.389818,1.000000
1.019011,4.508529,1.000000
0.783086,2.760037,1.000000
0.740400,1.656725,1.000000
0.520800,1.722157,1.000000
1.381679,1.903451,1.000000
